test_node_id	source_file	former_capability_code	fix_commit	proof_command	proof_result_digest	closed_at_foundation_date
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_nonexistent_source_commit_before_authority_use	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	cd2f29f54169668cec04da3d14ff8ad65d1c4d534026d1f2388c5e92b69001c1	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_bytes_mismatch_before_authority_use[materializer_source]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	821566f8afb3cb28c4e1b5cc8ddb9fcab37dd7eee42f4f8fd39f7a7175e9aa2c	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_bytes_mismatch_before_authority_use[rust_source]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	391b1e03e5604b0689c1884cbf7a31a40effb6f889143bc448e3ceaa0da74f01	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_bytes_mismatch_before_authority_use[rust_toolchain_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	e50cb8fb9016ae3b4329c9ee5b78415a26b2c5795bbc7bbe889b43f88d5d12f5	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_bytes_mismatch_before_authority_use[llvm_toolchain_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	09141ce0129163f36a1d550746bc089828fdc5abd6784db6d1365ee824f68774	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_bytes_mismatch_before_authority_use[input_cache_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	e453a49f0841465ebb6058ff1029aa01370e564d48b49124e0eeac4b19a79bde	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_source_commit_worktree_only_source_before_authority_use	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	aa44c30cf9e133a918570d3be003d51c7766782799cd2186c47471853e36b585	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_drifted_verifier_source_before_toolchain_import[rust_toolchain_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	88fe64af5d31fe766e4e8c800c9b325576836dadbe019d20b9cdb5f2c9b86960	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_drifted_verifier_source_before_toolchain_import[llvm_toolchain_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	08ed70030c0b0914fdb56fceec239bc523d4e98746d1acb869d77e910cef2cf0	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_drifted_verifier_source_before_toolchain_import[input_cache_validator]	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	933c5b39b5b556b498367478b79796ef38e7c71b9d977e0eff824b0de991fb1b	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_nonabsolute_paths_before_authority_use	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	ae4548bb96490523c9e362fcf4c9280103171ffa40106bdc75b6ae0b55398341	2026-08-13
tests/foundation/test_nautilus_sealed_uv_exec.py::test_materializer_rejects_existing_destination_without_clobbering	tests/foundation/test_nautilus_sealed_uv_exec.py	SRC-SEALEDUV-BWRAP-PREFLIGHT	871a10f3949c93fe1129c13de09b165b44af62a0	PYTEST_EXACT_NODE_V1	2b31b58a254e55a5236fc95b1edab25a1d8aa4d1b97696664fe5644a506a5f73	2026-08-13
